workerid,condition,browser,gender,age,storyID,order,whichCharFirst,trialType,distance1,distance2,attentionCheck1,attentionCheck2,attentionCheckWL1,attentionCheckWL2,reactionTime,happy1,sad1,relief1,regret1,content1,disapp1,happy2,sad2,relief2,regret2,content2,disapp2,forcedWorse
1,1,Firefox,M,24,7,0,1,1,1,5,1,5,L,L,37154,2,3,2,3,2,3,2,4,2,3,2,3,3
2,1,Chrome,M,29,7,0,2,1,5,1,5,1,L,L,66836,1,5,1,6,1,8,1,5,1,6,1,7,3
3,1,Chrome,F,43,7,0,1,1,1,5,1,5,L,L,98115,1,7,1,9,1,9,1,9,1,9,1,9,2
4,1,Chrome,M,31,7,0,2,1,5,1,5,1,L,L,73423,2,7,5,6,3,8,3,7,5,7,2,6,1
5,1,Chrome,M,35,7,0,1,1,1,5,1,5,L,L,70951,1,7,1,5,1,8,1,9,1,9,1,9,2
6,1,Chrome,M,23,7,0,2,1,5,1,5,1,L,L,195358,4,3,3,7,3,7,1,6,1,6,4,7,3
7,1,Chrome,M,28,7,0,2,1,5,1,5,1,L,L,59727,1,9,1,7,1,9,1,9,1,8,1,9,3
8,1,Firefox,M,24,7,0,1,1,1,5,1,5,L,L,122792,1,1,9,1,9,9,1,1,1,1,9,9,3
9,1,Chrome,F,21,7,0,1,1,1,5,1,5,L,L,97964,2,7,1,8,2,9,2,7,1,9,1,9,3
10,1,Safari,F,27,7,0,2,1,5,1,5,1,L,L,99766,3,3,3,3,3,3,3,3,3,7,7,7,3
11,1,Chrome,F,42,7,0,2,1,5,1,5,1,L,L,140378,1,7,2,1,3,7,2,7,2,1,2,8,1
12,1,Chrome,M,29,7,0,2,1,5,1,5,1,L,L,212254,2,8,3,1,1,9,2,4,3,1,1,9,3
13,1,Firefox,F,49,7,0,2,1,5,1,5,1,L,L,90559,1,9,1,9,1,9,1,9,1,9,1,9,3
14,1,Chrome,F,52,7,0,2,1,5,1,5,1,L,L,105086,1,9,1,9,1,9,1,9,1,9,1,9,3
15,1,Chrome,M,29,7,0,1,1,1,5,1,5,L,L,41951,5,5,5,1,5,5,5,5,5,1,1,5,3
16,1,Firefox,F,29,7,0,2,1,5,1,5,1,L,L,74646,1,7,1,3,3,9,1,7,1,3,3,9,3
17,1,Firefox,F,33,7,0,2,1,5,1,5,1,L,L,158419,1,8,1,5,1,9,1,7,1,5,1,9,3
18,1,Chrome,F,33,7,0,1,1,1,5,1,5,L,L,103749,2,1,1,9,1,9,1,9,1,9,1,9,3
19,1,Chrome,M,32,7,0,1,1,1,5,1,5,L,L,136493,3,7,3,4,4,7,2,8,3,3,3,8,2
20,1,Chrome,M,32,7,0,1,1,1,5,1,5,L,L,60678,2,7,2,7,2,8,2,7,2,6,2,8,3
21,1,Chrome,F,20,7,0,1,1,1,5,1,5,L,L,114256,1,7,2,5,2,7,1,8,2,7,2,6,2
22,1,Chrome,M,33,7,0,1,1,1,5,1,5,L,L,46201,1,5,1,5,1,5,1,5,1,5,1,5,3
23,1,Chrome,F,59,7,0,2,1,5,1,5,1,L,L,114508,2,1,1,8,1,9,1,9,1,9,1,9,3
24,1,Chrome,F,40,7,0,2,1,5,1,5,1,L,L,54467,1,9,1,4,1,9,1,9,2,4,1,9,3
25,1,Chrome,M,23,7,0,2,1,5,1,5,1,L,L,52480,1,9,1,9,1,9,1,9,1,9,1,9,1
26,1,Chrome,M,27,7,0,1,1,1,5,1,5,L,L,130520,2,8,3,6,3,8,2,9,1,7,1,9,2
27,1,Chrome,F,26,7,0,1,1,1,5,1,5,L,L,119196,1,7,4,4,3,8,6,3,3,9,8,8,1
28,1,Chrome,M,27,7,0,1,1,1,5,1,5,L,L,66198,1,7,1,5,2,9,2,7,1,7,1,9,3
29,1,Chrome,M,30,7,0,2,1,5,1,5,1,L,L,79081,1,8,1,8,1,9,1,9,1,9,1,9,3
30,1,Chrome,M,19,7,0,2,1,5,1,5,1,L,L,68794,1,2,2,2,2,2,3,2,3,3,2,3,3
31,1,Chrome,F,25,7,0,2,1,5,1,5,1,L,L,104202,4,4,5,4,5,6,3,3,5,5,3,6,3
32,1,Firefox,M,25,7,0,1,1,1,5,1,5,L,L,98643,1,6,3,4,3,8,1,5,2,4,2,7,3
33,1,Mozilla,F,33,7,0,1,1,1,5,1,5,L,L,113628,2,7,2,4,5,9,2,7,3,4,5,9,3
34,1,Chrome,M,25,7,0,1,1,1,5,1,5,L,L,98989,1,8,1,8,1,7,1,9,1,8,1,9,2
35,1,Chrome,M,29,7,0,1,1,1,5,1,5,L,L,120233,2,8,2,8,1,9,1,9,1,8,2,9,3
