workerid,condition,browser,gender,age,trialType,whichCharFirst,storyID,distance1,distance2,attentionCheck1,attentionCheck2,reactionTime,order,happy1,sad1,relief1,regret1,content1,disapp1,closeness1,happy2,sad2,relief2,regret2,content2,disapp2,closeness2,forcedWorse
201,1,Firefox,F,36,3,2,11,1,11,1,11,98737,1,1,9,1,9,1,9,1,1,9,1,9,1,9,9,2
202,1,Chrome,F,45,3,1,11,11,1,11,1,104711,1,1,8,1,1,1,9,4,1,8,1,1,8,9,1,3
203,1,Chrome,F,24,2,2,11,1,19,1,19,72963,1,1,5,1,3,2,5,3,1,4,1,6,1,7,7,2
204,1,Chrome,M,26,1,1,11,19,11,19,11,109772,1,5,5,1,7,3,7,1,5,5,3,7,3,7,1,3
205,1,Chrome,M,23,1,1,11,19,11,19,11,78226,1,1,7,1,8,1,7,3,9,1,9,1,9,1,9,2
206,1,Chrome,M,23,2,1,11,19,1,19,1,97990,1,2,8,6,8,3,9,1,3,7,2,8,2,9,1,3
207,1,Firefox,F,36,3,2,11,1,11,1,11,140344,1,2,8,2,8,2,9,1,4,7,3,7,2,7,1,2
208,1,Chrome,M,34,3,2,11,1,11,1,11,109897,1,6,3,6,5,8,3,1,6,3,4,2,5,4,5,3
209,1,Firefox,M,35,2,1,11,19,1,19,1,164859,1,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3
210,1,Firefox,M,26,3,2,11,1,11,1,11,68323,1,5,3,7,5,3,7,4,4,7,4,6,6,6,4,3
211,1,Chrome,M,31,3,2,11,1,11,1,11,161068,1,8,1,5,1,5,1,1,2,8,1,8,3,8,9,2
212,1,Chrome,M,24,3,2,11,1,11,1,11,133951,1,6,5,2,6,3,8,3,3,7,3,8,5,7,9,2
213,1,Chrome,M,28,3,2,11,1,11,1,11,156359,1,1,6,1,3,1,9,1,1,9,1,9,1,9,9,2
214,1,Chrome,M,31,3,1,11,11,1,11,1,212731,1,1,8,1,9,2,9,9,1,8,1,9,3,8,4,1
215,1,Chrome,F,26,1,2,11,11,19,11,19,85665,1,1,9,1,9,1,9,9,1,6,1,9,1,9,6,1
216,1,Firefox,M,28,2,2,11,1,19,1,19,111504,1,1,6,1,7,1,8,1,1,6,1,7,1,8,1,3
217,1,Firefox,F,30,1,1,11,19,11,19,11,127039,1,1,9,1,7,1,9,3,1,9,1,7,1,9,3,3
218,1,Chrome,F,26,2,2,11,1,19,1,19,283420,1,3,6,2,7,6,7,2,3,6,2,7,7,7,2,3
219,1,Firefox,M,28,2,1,11,19,1,19,1,258841,1,1,8,1,7,3,8,3,1,8,1,8,2,9,2,3
220,1,Chrome,F,26,3,1,11,11,1,11,1,150543,1,1,9,1,9,1,9,9,1,5,5,8,5,8,5,1
221,1,Chrome,M,35,3,2,11,1,11,1,11,51404,1,5,5,5,5,5,5,4,5,5,5,5,5,5,4,3
222,1,Chrome,M,32,1,1,11,19,11,19,11,142940,1,5,5,3,6,4,6,4,5,5,3,7,3,6,7,3
223,1,Chrome,F,22,3,1,11,11,1,11,1,71686,1,2,7,1,7,5,9,9,5,5,5,5,5,6,1,1
224,1,Chrome,M,35,3,1,11,11,1,11,1,102455,1,4,6,2,6,4,7,7,4,6,2,5,3,7,4,1
225,1,Mozilla,F,59,1,2,11,11,19,19,11,307224,1,4,4,4,4,4,4,3,3,3,3,3,3,3,9,1
226,1,Chrome,F,55,1,2,11,11,19,11,19,183578,1,1,9,1,9,1,9,9,1,7,1,8,1,8,2,1
227,1,Chrome,M,21,2,2,11,1,19,1,19,127054,1,1,5,1,6,1,7,1,1,5,1,6,1,6,1,3
228,1,Chrome,F,34,1,2,11,11,19,11,19,230490,1,1,7,1,6,6,9,9,1,7,1,4,5,9,4,2
229,1,Chrome,F,21,3,1,11,11,1,11,1,131068,1,2,3,3,7,1,6,7,2,4,3,4,3,3,4,1
230,1,Chrome,M,32,3,2,11,1,11,1,11,101929,1,2,7,2,7,2,8,2,2,7,2,5,2,8,2,3
231,1,Chrome,F,28,2,1,11,19,1,19,1,150377,1,1,8,1,6,1,9,7,1,8,1,7,1,9,2,2
232,1,Chrome,M,23,3,2,11,1,11,1,11,110161,1,1,9,1,8,2,8,3,1,9,1,9,1,9,9,2
233,1,Chrome,M,34,3,2,11,1,11,1,11,113497,1,6,2,1,4,5,7,1,1,6,2,9,3,9,7,2
234,1,Chrome,M,32,3,1,11,11,1,10,11,65491,1,5,7,6,7,8,6,6,5,7,6,4,6,8,7,1
235,1,Mozilla,M,30,3,2,11,1,11,1,11,178509,1,5,5,5,5,5,5,1,4,4,4,4,4,4,8,2
236,1,Safari,M,23,3,1,11,11,1,11,1,109264,1,3,7,2,6,3,8,9,4,5,4,5,6,5,3,1
237,1,Firefox,F,20,1,2,11,11,19,11,19,101187,1,1,9,1,6,1,9,2,1,9,1,9,1,9,7,3
238,1,Firefox,M,22,1,1,11,19,11,19,11,295722,1,3,5,1,6,2,7,1,3,6,2,7,2,7,1,2
