workerid,condition,browser,gender,age,trialType,whichCharFirst,storyID,distance1,distance2,attentionCheck1,attentionCheck2,reactionTime,order,happy1,sad1,relief1,regret1,content1,disapp1,closeness1,happy2,sad2,relief2,regret2,content2,disapp2,closeness2,forcedWorse
101,1,Chrome,M,24,2,1,11,19,1,19,1,64401,1,1,7,1,1,1,8,1,1,7,1,1,1,8,1,3
102,1,Firefox,M,24,3,1,11,11,1,11,1,48187,1,3,5,3,5,3,5,4,3,5,3,5,3,5,4,3
103,1,Chrome,F,29,3,1,11,11,1,11,1,76730,1,1,5,1,6,1,7,5,1,7,1,6,1,7,2,3
104,1,Chrome,M,24,3,1,11,11,1,11,1,73403,1,2,8,2,8,2,2,2,2,8,2,8,2,8,2,3
105,1,Chrome,M,26,3,1,11,11,1,11,1,96991,1,3,5,5,6,3,4,4,7,7,6,4,5,3,7,2
106,1,Firefox,M,33,1,1,11,19,11,19,11,51535,1,1,1,1,4,1,1,1,1,1,1,6,1,2,3,2
107,1,Chrome,M,35,3,1,11,11,1,11,1,40260,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
108,1,Chrome,F,38,3,1,11,11,1,11,1,78549,1,3,8,1,7,2,9,5,2,8,1,8,2,9,5,3
109,1,Firefox,F,24,1,2,11,11,19,11,19,99609,1,1,9,1,6,1,9,4,1,9,1,9,1,9,8,3
110,1,Chrome,M,28,2,2,11,1,19,1,19,117609,1,5,4,2,6,5,6,3,5,4,2,5,5,6,7,3
111,1,Chrome,M,30,1,2,11,11,19,11,19,95907,1,2,7,2,6,3,8,7,2,4,1,5,2,5,3,1
112,1,Chrome,F,27,1,2,11,11,19,11,19,136749,1,5,5,1,5,1,9,1,1,9,1,9,1,9,9,1
113,1,Firefox,M,26,1,1,11,19,11,19,11,74383,1,3,7,3,6,4,3,6,3,7,2,7,4,8,6,1
114,1,Chrome,M,26,3,2,11,1,11,1,11,170281,1,2,8,2,8,5,8,1,2,4,3,6,5,7,7,3
115,1,Chrome,M,27,2,1,11,19,1,19,1,99197,1,1,6,1,5,1,7,2,1,8,1,6,1,6,1,3
116,1,Chrome,M,32,3,2,11,1,11,1,11,69073,1,1,8,1,8,1,8,1,1,8,1,8,1,8,1,3
117,1,Chrome,M,26,3,1,11,11,1,11,1,48998,1,3,5,3,4,3,4,2,3,4,3,4,4,5,3,3
118,1,Firefox,F,36,3,2,11,1,11,1,11,117948,1,1,9,1,7,1,9,1,1,9,1,7,1,9,1,3
119,1,Chrome,M,26,1,2,11,11,19,11,19,119380,1,2,8,1,8,2,8,3,2,7,2,8,2,8,2,3
120,1,Firefox,F,28,3,1,11,11,1,11,1,103978,1,3,6,2,7,5,9,6,2,7,3,5,4,8,3,1
121,1,Chrome,M,31,1,2,11,11,19,11,19,66989,1,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3
122,1,Firefox,F,46,2,1,11,19,1,19,1,195793,1,2,7,1,8,2,8,5,2,7,1,7,1,8,5,1
123,1,Firefox,F,36,3,2,11,1,11,1,11,80843,1,1,7,1,6,3,9,1,3,8,1,8,2,9,1,3
124,1,Chrome,M,37,2,2,11,1,19,1,19,198878,1,1,8,1,9,1,9,2,1,9,1,9,1,9,8,2
125,1,Chrome,M,32,2,1,11,19,1,19,1,108324,1,3,6,1,8,2,8,7,4,7,1,7,6,6,5,1
126,1,Chrome,F,29,1,2,11,11,19,11,19,112082,1,3,2,1,1,4,7,5,3,2,1,1,4,7,5,3
127,1,Chrome,M,27,1,2,11,11,19,11,19,196501,1,4,6,4,4,4,7,1,3,5,3,5,5,6,1,3
128,1,Firefox,M,35,1,1,11,19,11,19,11,146526,1,3,6,3,6,3,8,6,2,6,5,6,3,8,5,3
129,1,Chrome,M,29,2,1,11,19,1,19,1,116320,1,2,7,1,8,3,8,8,3,7,1,8,4,7,4,1
130,1,Firefox,M,32,3,2,11,1,11,1,11,108636,1,3,7,1,8,1,9,1,2,9,1,9,1,9,1,3
131,1,Chrome,M,19,1,2,11,11,19,11,19,108877,1,8,6,6,3,4,5,9,2,1,2,2,2,1,2,3
132,1,Chrome,M,24,3,1,11,11,1,11,1,74774,1,2,8,1,5,1,9,3,2,8,1,5,1,9,3,3
133,1,Chrome,F,57,2,1,11,19,1,19,1,164573,1,1,8,1,7,1,9,7,1,8,1,8,1,9,2,3
134,1,Firefox,M,35,1,2,11,11,19,11,19,118063,1,2,8,2,8,2,8,2,1,9,1,9,1,9,9,2
135,1,Chrome,M,24,1,2,11,11,19,11,19,155733,1,2,8,2,6,2,8,5,2,8,2,7,2,8,5,3
136,1,Chrome,M,40,3,1,11,11,1,11,1,166644,1,3,6,3,7,3,8,5,4,7,3,6,3,7,5,3
137,1,Chrome,F,34,3,1,11,11,1,11,1,67227,1,1,5,1,7,1,9,1,1,5,1,7,1,9,1,3
138,1,Firefox,M,22,2,2,11,1,19,1,19,105659,1,2,7,1,7,3,8,2,2,7,1,7,3,8,2,3
139,1,Chrome,F,40,3,2,11,1,11,1,11,215643,1,1,1,1,6,4,6,2,1,1,1,7,3,7,6,2
140,1,Chrome,F,24,1,2,11,11,19,11,19,88766,1,2,5,1,6,4,7,3,1,6,1,7,3,8,8,2
141,1,Chrome,F,34,2,1,11,19,1,1,19,66396,1,5,5,5,5,5,5,3,5,5,5,5,5,5,8,3
142,1,Chrome,F,36,2,2,11,1,19,1,19,89551,1,4,6,1,6,3,8,5,4,6,1,6,3,8,5,3
143,1,Firefox,F,49,3,2,11,1,11,1,11,98281,1,2,6,5,4,5,5,4,7,6,5,5,6,6,6,3
144,1,Chrome,F,38,3,1,11,11,1,11,1,96831,1,1,7,1,7,1,9,9,1,3,1,3,1,7,1,1
145,1,Firefox,F,28,1,2,11,11,19,11,19,272034,1,2,8,1,7,1,8,4,2,9,1,9,1,9,7,3
146,1,Chrome,M,47,3,1,11,11,1,11,1,293909,1,1,7,1,6,1,9,2,1,7,1,6,1,9,2,3
147,1,Chrome,M,40,3,2,11,1,11,1,11,184162,1,1,7,1,9,2,9,2,1,8,1,9,2,9,2,3
148,1,Chrome,M,53,3,2,11,1,11,1,11,91199,1,4,3,3,5,3,2,3,4,3,3,4,3,3,3,3
149,1,Chrome,M,24,1,2,11,11,19,11,19,64537,1,2,6,2,7,2,7,8,4,5,4,5,4,5,3,1
150,1,Chrome,M,33,2,2,11,1,19,1,19,75263,1,1,1,1,1,3,3,1,1,1,1,1,1,1,9,3
151,1,Chrome,M,36,1,2,11,11,19,11,19,247938,1,4,5,2,7,4,6,2,3,6,2,6,5,6,2,3
152,1,Firefox,F,47,2,2,11,1,19,1,19,182363,1,1,5,1,7,1,1,1,1,9,1,9,1,9,7,1
153,1,Mozilla,F,37,1,1,11,19,11,19,11,196165,1,2,7,1,7,1,9,8,2,7,1,7,1,8,3,1
154,1,Firefox,M,43,3,1,11,11,1,1,1,81913,1,1,4,1,4,4,6,3,1,4,1,6,4,6,3,3
155,1,Safari,F,49,3,1,11,11,1,11,1,115461,1,1,6,1,4,4,8,1,1,6,1,7,1,8,1,3
156,1,Firefox,F,41,2,2,11,1,19,1,19,240426,1,2,4,1,3,2,6,2,2,3,1,6,2,8,8,2
157,1,Chrome,M,37,1,1,11,19,11,19,11,113194,1,1,8,1,9,1,9,2,1,9,1,8,2,9,2,3
158,1,Chrome,M,20,3,2,11,1,11,1,11,65560,1,5,5,5,5,5,5,4,5,5,5,5,5,5,9,2
159,1,Chrome,F,59,3,2,11,1,11,1,11,134809,1,1,9,1,8,1,8,1,1,9,1,8,1,9,1,3
160,1,Chrome,M,22,2,1,11,19,1,19,1,113749,1,3,7,1,8,2,9,8,1,8,2,9,2,8,2,1
161,1,Firefox,M,28,1,1,11,19,11,19,11,125296,1,1,7,1,8,1,8,3,1,6,1,6,1,8,3,3
162,1,Chrome,M,33,2,1,11,19,1,19,1,88815,1,2,4,1,7,2,9,5,2,4,1,7,2,9,3,3
163,1,Firefox,F,35,2,1,11,19,1,1,19,71539,1,5,5,5,5,5,5,2,5,5,5,5,5,5,1,3
164,1,Chrome,F,50,1,1,11,19,11,19,11,120262,1,2,8,1,9,2,9,1,1,9,1,9,1,9,7,2
165,1,Chrome,F,20,3,2,11,1,11,1,11,84169,1,1,5,1,9,1,9,1,1,5,1,7,1,9,9,3
166,1,Chrome,M,35,3,2,11,1,11,1,11,110395,1,1,8,1,9,1,9,5,1,8,1,9,1,9,5,3
167,1,Chrome,M,26,1,2,11,11,19,11,19,158843,1,2,7,1,6,2,8,2,2,7,1,7,2,8,2,2
168,1,Firefox,M,23,3,1,11,11,1,11,1,58764,1,1,1,1,3,1,2,9,1,1,1,2,1,3,1,3
169,1,Chrome,F,25,1,1,11,19,11,19,11,91666,1,2,2,2,7,2,7,8,2,2,6,5,1,5,3,1
170,1,Chrome,M,32,3,1,11,11,1,11,1,78323,1,1,9,1,9,1,9,1,1,9,1,9,1,9,1,3
171,1,Safari,F,31,3,1,11,11,1,11,1,97157,1,1,8,1,8,1,9,5,1,8,1,7,1,9,5,3
172,1,Chrome,M,25,1,2,11,11,19,11,19,114991,1,4,5,4,4,5,8,7,2,7,3,9,3,8,9,2
173,1,Chrome,M,35,2,2,11,1,19,1,19,85407,1,4,4,2,3,4,3,3,3,4,3,4,3,4,2,3
174,1,Chrome,F,36,1,2,11,11,19,11,19,176897,1,1,4,1,4,1,7,2,1,7,1,7,1,9,7,2
175,1,Chrome,M,38,3,1,11,11,1,11,1,197443,1,3,6,5,8,3,9,7,2,6,4,7,2,9,2,2
176,1,Firefox,F,36,3,2,11,1,11,1,11,123524,1,4,6,4,6,4,6,2,2,7,2,8,3,8,4,2
